| table_name               | constraint_name                                      | check_clause                                                                                                                   |
| ------------------------ | ---------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------ |
| agents                   | agents_prompt_template_check                         | (length(TRIM(BOTH FROM prompt_template)) >= 20)                                                                                |
| agents                   | 2200_20787_1_not_null                                | id IS NOT NULL                                                                                                                 |
| agents                   | agents_name_check                                    | ((length(TRIM(BOTH FROM name)) >= 2) AND (length(TRIM(BOTH FROM name)) <= 100))                                                |
| agents                   | 2200_20787_7_not_null                                | is_active IS NOT NULL                                                                                                          |
| agents                   | 2200_20787_4_not_null                                | purpose IS NOT NULL                                                                                                            |
| agents                   | 2200_20787_8_not_null                                | created_at IS NOT NULL                                                                                                         |
| agents                   | 2200_20787_9_not_null                                | updated_at IS NOT NULL                                                                                                         |
| agents                   | 2200_20787_5_not_null                                | prompt_template IS NOT NULL                                                                                                    |
| agents                   | 2200_20787_3_not_null                                | name IS NOT NULL                                                                                                               |
| agents                   | 2200_20787_6_not_null                                | variables IS NOT NULL                                                                                                          |
| agents                   | agents_purpose_check                                 | ((length(TRIM(BOTH FROM purpose)) >= 10) AND (length(TRIM(BOTH FROM purpose)) <= 500))                                         |
| communities              | 2200_17293_2_not_null                                | name IS NOT NULL                                                                                                               |
| communities              | 2200_17293_14_not_null                               | organization_id IS NOT NULL                                                                                                    |
| communities              | communities_name_not_empty                           | (char_length((name)::text) > 0)                                                                                                |
| communities              | 2200_17293_1_not_null                                | id IS NOT NULL                                                                                                                 |
| document_chunks          | document_chunks_content_check                        | (length(content) > 0)                                                                                                          |
| document_chunks          | 2200_23324_3_not_null                                | document_id IS NOT NULL                                                                                                        |
| document_chunks          | 2200_23324_16_not_null                               | chunking_method IS NOT NULL                                                                                                    |
| document_chunks          | positive_content_length                              | (content_length = length(content))                                                                                             |
| document_chunks          | 2200_23324_6_not_null                                | chunk_type IS NOT NULL                                                                                                         |
| document_chunks          | 2200_23324_8_not_null                                | content_length IS NOT NULL                                                                                                     |
| document_chunks          | document_chunks_chunk_number_check                   | (chunk_number >= 1)                                                                                                            |
